version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,1250,0.2572,4.3976,5,4.4014,0.0016,0.0038,0.5798
3,1260,0.2818,4.7268,5,4.7876,0.0016,0.0039,1.1218
3,1270,0.2754,4.6358,5,4.6804,0.0014,0.0038,0.7196
3,1280,0.2741,4.7757,5,4.8348,0.0014,0.004,0.8668
3,1290,0.248,4.3475,5,4.3794,0.0015,0.0037,0.5787
3,1300,0.2764,4.7052,5,4.6925,0.0017,0.0035,0.7016
3,1310,0.2797,4.747,5,4.7403,0.0016,0.004,0.5268
3,1320,0.2722,4.6318,5,4.7511,0.0017,0.0041,0.9459
3,1330,0.2799,4.7719,5,4.7874,0.0014,0.0038,0.7498
3,1340,0.2802,4.8675,5,4.8675,0.0013,0.0038,0.3743
3,1350,0.2491,4.3226,5,4.3705,0.0015,0.0037,0.8236
3,1360,0.2524,4.3762,5,4.3926,0.0013,0.0033,0.3062
3,1370,0.2599,4.4623,5,4.4407,0.0014,0.0035,0.4271
3,1380,0.2842,4.7639,5,4.6531,0.0013,0.0038,0.6595
3,1390,0.258,4.3769,5,4.3276,0.0014,0.0032,0.3652
3,1400,0.2932,4.9582,5,4.9467,0.0015,0.004,0.8897
3,1410,0.2658,4.623,5,4.6512,0.0019,0.0038,0.4914
3,1420,0.2804,4.7502,5,4.7748,0.0013,0.0038,1.0619
3,1430,0.2698,4.6626,5,4.7559,0.0016,0.0041,0.8564
3,1440,0.2786,4.8161,5,4.8267,0.0014,0.0039,0.5221
3,1450,0.2744,4.6188,5,4.6084,0.0017,0.004,0.6171
3,1460,0.2645,4.4666,5,4.4758,0.0016,0.0037,0.7996
3,1470,0.2659,4.5321,5,4.4926,0.0016,0.0039,0.9429
3,1480,0.2603,4.5596,5,4.5583,0.0016,0.0038,0.556
3,1490,0.2873,4.8994,5,4.7625,0.0017,0.0038,0.5497
3,1500,0.2669,4.5815,5,4.5997,0.0016,0.0041,0.4993
3,1510,0.2507,4.2791,5,4.2008,0.0015,0.0034,0.4566
3,1520,0.2669,4.5973,5,4.5754,0.0018,0.0039,0.5496
3,1530,0.2647,4.5037,5,4.503,0.0015,0.0038,1.0396
3,1540,0.2658,4.6016,5,4.522,0.0016,0.004,0.7275
3,1550,0.2448,4.2588,5,4.2655,0.0015,0.0037,0.9209
3,1560,0.2751,4.6212,5,4.6467,0.0017,0.0039,0.8488
3,1570,0.2661,4.6525,5,4.6648,0.0018,0.004,0.5882
3,1580,0.2684,4.772,5,4.6477,0.0018,0.0037,0.5675
3,1590,0.2768,4.7627,5,4.7388,0.0016,0.0039,0.7208
3,1600,0.2669,4.6711,5,4.6616,0.0017,0.0043,0.9728
3,1610,0.2719,4.6853,5,4.6645,0.0017,0.0039,0.6959
3,1620,0.2675,4.6376,5,4.7103,0.0017,0.0038,0.6447
3,1630,0.2386,4.092,5,4.1849,0.0017,0.0035,0.5648
3,1640,0.2709,4.5629,5,4.633,0.0018,0.0039,0.4937
3,1650,0.2644,4.6117,5,4.7445,0.0019,0.0039,0.5332
3,1660,0.296,4.9822,5,4.9754,0.0015,0.0036,0.6057
3,1670,0.2623,4.5314,5,4.625,0.0017,0.0037,0.8203
3,1680,0.2666,4.6491,5,4.9474,0.0015,0.0039,0.8613
3,1690,0.2538,4.5061,5,4.6402,0.0017,0.0039,0.4852
3,1700,0.2644,4.544,5,4.6739,0.0018,0.004,0.8325
3,1710,0.2536,4.3919,5,4.4278,0.0018,0.0036,0.5713
3,1720,0.262,4.5684,5,4.5514,0.0019,0.0038,1.0892
3,1730,0.2359,4.2312,5,4.292,0.0019,0.0039,0.5413
3,1740,0.2731,4.6541,5,4.5217,0.0018,0.0037,0.6445
3,1750,0.2658,4.6517,5,4.5184,0.0013,0.004,0.9526
3,1760,0.2628,4.6117,5,4.4616,0.0018,0.0041,0.7523
3,1770,0.2646,4.6381,5,4.5493,0.0013,0.0039,0.638
3,1780,0.1932,3.4932,5,3.3747,0.0017,0.0032,0.4276
3,1790,0.2674,4.6193,5,4.554,0.0014,0.0039,0.7969
3,1800,0.2619,4.5403,5,4.6025,0.0015,0.0038,0.4812
3,1810,0.2631,4.5267,5,4.5115,0.0013,0.0036,0.3327
