version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,1230,0.4273,5.3176,5,5.1979,0.0268,0.0275,2.0325
3,1240,0.4504,5.3389,5,5.3736,0.0321,0.0333,2.889
3,1250,0.4826,5.7381,5,5.8682,0.0277,0.0333,3.0646
3,1260,0.4646,5.5658,5,5.4539,0.0293,0.0348,2.755
3,1270,0.4231,5.0351,5,5.1095,0.0292,0.0345,2.6366
3,1280,0.462,5.5278,5,5.5655,0.0294,0.0348,2.7229
3,1290,0.4478,5.4777,5,5.6975,0.0308,0.0342,3.3726
3,1300,0.438,5.3432,5,5.4662,0.0302,0.0325,2.3962
3,1310,0.4692,5.6708,5,5.7748,0.0306,0.0279,2.552
3,1320,0.457,5.6404,5,5.6446,0.0303,0.0283,2.7069
3,1330,0.4522,5.5584,5,5.4433,0.0282,0.0323,2.7468
3,1340,0.4659,5.8252,5,5.8461,0.0291,0.0373,3.2657
3,1350,0.412,5.1787,5,5.488,0.0292,0.0347,2.0651
3,1360,0.4412,5.5229,5,5.5379,0.0302,0.0349,2.1987
3,1370,0.421,5.3652,5,5.3009,0.0287,0.0311,2.181
3,1380,0.4272,5.2329,5,5.4978,0.0274,0.0321,2.6847
3,1390,0.4423,5.4479,5,5.5692,0.0311,0.0368,2.3845
3,1400,0.4838,5.7974,5,6.0616,0.0293,0.0349,3.3912
3,1410,0.4842,5.8875,5,5.5762,0.0333,0.0371,2.8172
3,1420,0.504,6.0097,5,6.0804,0.0305,0.0404,2.9065
3,1430,0.4969,6.1269,5,5.9581,0.0375,0.0452,3.1593
3,1440,0.5282,6.3536,5,6.0422,0.0302,0.0396,2.6583
3,1450,0.4688,5.9609,5,5.9112,0.0318,0.0411,3.4746
3,1460,0.4582,5.5355,5,5.5254,0.0324,0.0392,2.9234
3,1470,0.4154,5.3506,5,5.7094,0.0326,0.038,2.5494
3,1480,0.5063,6.0878,5,5.9661,0.0313,0.0437,3.2015
3,1490,0.4435,5.4547,5,5.6067,0.0313,0.0373,3.2347
3,1500,0.4842,5.8976,5,5.7623,0.0381,0.0447,3.3894
3,1510,0.4473,5.5374,5,5.7226,0.0326,0.0426,3.3333
3,1520,0.4265,5.3939,5,5.563,0.0329,0.0447,2.417
3,1530,0.4883,6.1708,5,5.856,0.034,0.0453,3.2916
3,1540,0.44,5.4251,5,5.5064,0.0334,0.0388,2.5675
3,1550,0.4707,5.7844,5,5.8845,0.0314,0.0428,2.7729
3,1560,0.4094,5.5493,5,5.7963,0.0324,0.0409,2.0087
3,1570,0.4403,5.6086,5,5.5418,0.0313,0.0401,2.827
3,1580,0.4832,6.0976,5,6.3543,0.0349,0.044,3.7615
3,1590,0.5257,6.4704,5,6.3369,0.0344,0.0435,3.1278
3,1600,0.4803,5.9462,5,5.9275,0.035,0.0458,3.348
3,1610,0.4581,5.8081,5,5.7767,0.031,0.0454,2.9922
3,1620,0.475,6.0466,5,6.1925,0.0323,0.0496,2.6688
3,1630,0.4387,5.6497,5,5.5573,0.0289,0.0457,2.7675
3,1640,0.5198,6.4892,5,6.293,0.0326,0.0482,2.9845
3,1650,0.4692,5.9514,5,6.1096,0.0302,0.0476,3.573
3,1660,0.4681,5.905,5,5.6971,0.0294,0.0455,3.2007
3,1670,0.4721,6.1314,5,6.236,0.0331,0.0462,2.5333
3,1680,0.432,5.5409,5,5.9115,0.0282,0.0478,2.7523
3,1690,0.4564,5.7594,5,5.8105,0.0307,0.0462,2.6178
3,1700,0.4825,5.9255,5,5.7416,0.0281,0.0518,3.2497
3,1710,0.4788,6.1549,5,5.8935,0.0313,0.0506,2.9861
3,1720,0.455,5.791,5,5.5503,0.0297,0.0503,2.6532
3,1730,0.4024,5.1881,5,5.399,0.0255,0.0484,2.4079
3,1740,0.4505,5.7607,5,6.071,0.0312,0.0492,3.307
3,1750,0.477,6.0155,5,5.8522,0.0317,0.0529,3.0025
3,1760,0.4825,6.0845,5,6.1702,0.027,0.0532,3.1177
3,1770,0.4608,5.8512,5,6.0162,0.0324,0.0596,3.3959
3,1780,0.4903,6.1791,5,6.0614,0.0296,0.0592,3.8656
3,1790,0.5082,6.4431,5,6.5,0.0281,0.0533,3.0948
3,1800,0.4596,5.9194,5,6.0863,0.0338,0.0667,3.9825
3,1810,0.4513,5.8625,5,5.7503,0.0301,0.0588,3.1512
3,1820,0.488,6.2447,5,6.011,0.0345,0.0638,3.6342
