version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,1240,0.3589,4.3889,5,4.2733,0.0108,0.0046,0.8543
3,1250,0.4065,4.6465,5,4.5139,0.0107,0.0109,1.1067
3,1260,0.3789,4.473,5,4.4623,0.0117,0.0083,1.1606
3,1270,0.3765,4.4323,5,4.4461,0.011,0.006,1.4744
3,1280,0.3745,4.5023,5,4.4617,0.0103,0.0044,0.5855
3,1290,0.364,4.4448,5,4.4734,0.0101,0.0042,0.6237
3,1300,0.3694,4.4191,5,4.4939,0.0129,0.0046,1.1041
3,1310,0.3876,4.4715,5,4.333,0.0134,0.0139,1.5055
3,1320,0.3675,4.4429,5,4.5558,0.0122,0.0082,1.484
3,1330,0.3834,4.5731,5,4.6515,0.0108,0.008,0.7586
3,1340,0.378,4.5011,5,4.3286,0.011,0.009,1.05
3,1350,0.3705,4.3912,5,4.3878,0.012,0.009,1.1112
3,1360,0.3737,4.4835,5,4.5171,0.0108,0.0072,1.1603
3,1370,0.3728,4.4313,5,4.319,0.0123,0.0099,1.1587
3,1380,0.3734,4.4809,5,4.507,0.0114,0.0073,0.7124
3,1390,0.3705,4.5666,5,4.6861,0.0105,0.0049,0.5386
3,1400,0.3852,4.5882,5,4.4017,0.0129,0.0093,1.4599
3,1410,0.3616,4.457,5,4.4198,0.0111,0.005,0.5712
3,1420,0.3678,4.5252,5,4.6874,0.013,0.0055,1.1068
3,1430,0.3953,4.7567,5,4.6125,0.0111,0.0114,0.9426
3,1440,0.3617,4.4988,5,4.408,0.012,0.0056,1.059
3,1450,0.3767,4.5527,5,4.5162,0.0113,0.0065,1.1605
3,1460,0.3539,4.3627,5,4.4535,0.0119,0.0052,0.9739
3,1470,0.3597,4.5323,5,4.6574,0.0114,0.0054,0.7044
3,1480,0.3733,4.5566,5,4.5933,0.0113,0.0065,0.7248
3,1490,0.347,4.347,5,4.3943,0.0114,0.0051,0.7805
3,1500,0.3806,4.5991,5,4.4284,0.0116,0.0075,0.7329
3,1510,0.3766,4.6524,5,4.612,0.0102,0.0062,0.518
3,1520,0.3531,4.4135,5,4.5491,0.013,0.0063,1.2645
3,1530,0.3749,4.5678,5,4.6211,0.0116,0.0087,1.3574
3,1540,0.3858,4.5436,5,4.4306,0.0131,0.0089,1.5592
3,1550,0.3706,4.4911,5,4.4735,0.0107,0.0059,0.8275
3,1560,0.356,4.3528,5,4.3881,0.011,0.0051,0.6153
3,1570,0.3695,4.496,5,4.3335,0.0133,0.0063,1.0369
3,1580,0.3753,4.5987,5,4.5762,0.0104,0.0053,0.538
3,1590,0.345,4.3247,5,4.3237,0.0105,0.0048,0.5682
3,1600,0.3557,4.3468,5,4.3856,0.0116,0.0064,0.8171
3,1610,0.3677,4.4789,5,4.4583,0.0097,0.0051,0.8761
3,1620,0.3887,4.6183,5,4.6676,0.0124,0.0123,1.4822
3,1630,0.3437,4.3627,5,4.4504,0.01,0.0052,0.7281
3,1640,0.3712,4.5451,5,4.5015,0.0095,0.0092,1.3341
3,1650,0.364,4.4807,5,4.4296,0.0099,0.006,0.7582
3,1660,0.3578,4.4975,5,4.4267,0.0096,0.0062,0.7615
3,1670,0.3636,4.5086,5,4.7028,0.0097,0.0054,0.72
3,1680,0.3692,4.5296,5,4.474,0.0112,0.0059,0.695
3,1690,0.3726,4.5559,5,4.4521,0.0099,0.0062,0.4213
3,1700,0.3666,4.5355,5,4.6846,0.0093,0.0058,0.8768
3,1710,0.3664,4.5626,5,4.7346,0.0098,0.0061,0.7022
3,1720,0.3695,4.5468,5,4.3913,0.0088,0.0055,0.8322
3,1730,0.3645,4.5238,5,4.4677,0.0103,0.0057,0.7562
3,1740,0.3441,4.2284,5,4.3898,0.0105,0.0055,0.9261
3,1750,0.3781,4.6228,5,4.5459,0.01,0.006,0.6225
3,1760,0.3727,4.5997,5,4.4749,0.0103,0.0065,0.761
3,1770,0.3962,4.6653,5,4.5542,0.0092,0.0114,1.436
3,1780,0.3685,4.458,5,4.5142,0.01,0.0069,0.5015
3,1790,0.385,4.6512,5,4.6019,0.0105,0.0102,1.3967
3,1800,0.409,4.8214,5,4.5986,0.0093,0.0108,1.6195
3,1810,0.3818,4.7066,5,4.7,0.01,0.0089,1.0776
3,1820,0.3601,4.4158,5,4.4642,0.0097,0.0058,0.7686
3,1830,0.3634,4.4832,5,4.5715,0.0097,0.0071,0.8552
3,1840,0.3811,4.6821,5,4.7084,0.0107,0.0095,1.635
3,1850,0.3663,4.5328,5,4.6267,0.0104,0.0074,0.9939
3,1860,0.3908,4.6926,5,4.5191,0.0103,0.0076,1.2897
3,1870,0.3942,4.6809,5,4.7159,0.0108,0.0101,1.4873
3,1880,0.3974,4.7105,5,4.6538,0.0101,0.0099,1.2585
3,1890,0.3871,4.7295,5,4.6614,0.0107,0.0111,1.1481
3,1900,0.3851,4.7001,5,4.6459,0.0102,0.0097,1.0153
3,1910,0.3832,4.6942,5,4.6937,0.0097,0.0082,1.0263
3,1920,0.3614,4.6121,5,4.6106,0.01,0.0072,0.6747
3,1930,0.3896,4.7601,5,4.8022,0.0099,0.0078,0.6685
3,1940,0.393,4.8083,5,4.7101,0.0089,0.0114,1.201
3,1950,0.3969,4.8174,5,4.7251,0.0108,0.0141,1.5089
3,1960,0.3762,4.6171,5,4.6984,0.012,0.0092,1.7834
3,1970,0.4064,4.8159,5,4.648,0.0093,0.0155,1.3728
3,1980,0.3842,4.67,5,4.6253,0.0103,0.0136,1.2709
3,1990,0.4008,4.8239,5,4.7577,0.0107,0.0101,1.268
3,2000,0.4021,4.9085,5,4.8518,0.0097,0.0155,1.169
3,2010,0.3658,4.604,5,4.7934,0.0106,0.0086,1.4357
3,2020,0.4003,4.8499,5,4.8976,0.0103,0.0109,1.1776
3,2030,0.3985,4.8824,5,4.8112,0.0106,0.01,1.4684
3,2040,0.4273,5.0305,5,4.8607,0.0104,0.0264,1.9284
3,2050,0.3758,4.7807,5,4.8471,0.0088,0.0074,0.7732
3,2060,0.4036,4.9185,5,4.9113,0.008,0.0123,1.3756
3,2070,0.3764,4.8261,5,4.9056,0.0104,0.0084,0.7953
3,2080,0.3965,4.8243,5,4.7584,0.0101,0.0151,1.3194
3,2090,0.3801,4.7624,5,4.8866,0.0107,0.0076,1.4176
3,2100,0.3753,4.725,5,4.7586,0.0105,0.0082,1.2087
3,2110,0.3933,4.8336,5,4.6529,0.0094,0.0109,0.786
3,2120,0.373,4.6803,5,4.6904,0.0107,0.0077,0.7953
3,2130,0.3745,4.6624,5,4.8134,0.0097,0.0084,1.1603
3,2140,0.3887,4.8104,5,4.845,0.0096,0.0091,1.0392
3,2150,0.3891,4.7513,5,4.7471,0.0104,0.0098,0.999
3,2160,0.3994,4.8952,5,4.8388,0.0088,0.014,1.1646
3,2170,0.4107,5.0054,5,4.9221,0.0095,0.0118,1.0694
3,2180,0.4081,4.9582,5,4.8497,0.0095,0.0142,1.2804
3,2190,0.3898,4.8771,5,5.0101,0.0096,0.0098,0.8423
3,2200,0.3829,4.8155,5,4.9242,0.0097,0.0092,1.0452
3,2210,0.3929,4.7912,5,4.6408,0.0095,0.0164,1.1304
3,2220,0.3983,4.9194,5,4.8202,0.0099,0.0161,1.441
3,2230,0.4026,4.9123,5,4.8637,0.011,0.0136,1.6952
3,2240,0.4045,4.9637,5,4.9789,0.009,0.0125,1.0077
3,2250,0.3792,4.8618,5,4.9386,0.0096,0.009,0.5821
3,2260,0.3579,4.5843,5,4.7278,0.0117,0.0166,1.4823
3,2270,0.3911,4.9108,5,4.9113,0.0103,0.0195,1.7035
3,2280,0.3633,4.5882,5,4.6165,0.0094,0.0135,0.9562
3,2290,0.3877,4.8349,5,4.8324,0.0104,0.01,1.3359
3,2300,0.3997,4.9233,5,5.0036,0.0102,0.0124,1.5469
3,2310,0.39,4.9388,5,4.8981,0.0086,0.009,0.7759
3,2320,0.4248,5.1127,5,4.9026,0.0095,0.0158,1.5537
3,2330,0.3818,4.7971,5,4.8727,0.0112,0.0132,1.5887
3,2340,0.398,4.9358,5,5.0484,0.0096,0.0131,2.1018
3,2350,0.3933,4.9774,5,4.9851,0.0101,0.0126,1.297
3,2360,0.4254,5.1316,5,4.921,0.0096,0.0183,1.6746
3,2370,0.3945,4.9172,5,4.8769,0.0104,0.0101,1.14
3,2380,0.3868,4.9579,5,4.9244,0.0091,0.0103,1.1664
3,2390,0.3892,4.9533,5,5.075,0.0093,0.0104,1.2523
3,2400,0.4025,5.0577,5,5.1183,0.0097,0.0128,1.1293
3,2410,0.391,4.9566,5,5.0253,0.0085,0.009,0.722
3,2420,0.3779,4.9218,5,5.085,0.0097,0.0113,1.2275
3,2430,0.3764,4.8967,5,4.77,0.01,0.0098,1.3011
