version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,1900,0.0776,1.4137,5,1.4406,0.0015,0.0033,0.2048
3,1910,0.0964,1.6488,5,1.6387,0.0017,0.0035,0.2824
3,1920,0.0823,1.4217,5,1.4273,0.0014,0.0027,0.0853
3,1930,0.0731,1.3177,5,1.2731,0.0014,0.0024,0.0975
3,1940,0.0857,1.5178,5,1.5411,0.002,0.0032,0.2101
3,1950,0.1005,1.7396,5,1.6816,0.0017,0.0036,0.1773
3,1960,0.0645,1.1902,5,1.18,0.0014,0.0021,0.0643
3,1970,0.0716,1.2989,5,1.3294,0.0016,0.0027,0.3557
3,1980,0.0743,1.3339,5,1.3542,0.0014,0.0026,0.0836
3,1990,0.064,1.1621,5,1.1485,0.0014,0.0021,0.071
3,2000,0.1117,1.8556,5,1.872,0.0016,0.0038,0.1222
3,2010,0.0747,1.3787,5,1.3705,0.0013,0.0023,0.0686
3,2020,0.0655,1.22,5,1.1653,0.0014,0.0023,0.09
3,2030,0.0872,1.5162,5,1.514,0.0017,0.0029,0.0734
3,2040,0.0743,1.3479,5,1.4047,0.0014,0.0025,0.0967
3,2050,0.0789,1.3875,5,1.3551,0.0014,0.0025,0.1235
3,2060,0.1085,1.8061,5,1.7475,0.0014,0.0041,0.113
3,2070,0.0866,1.5376,5,1.5593,0.0018,0.0032,0.3509
3,2080,0.0781,1.4272,5,1.4446,0.0014,0.0028,0.2631
3,2090,0.0715,1.3113,5,1.2928,0.0014,0.0022,0.196
3,2100,0.0688,1.2707,5,1.2431,0.0014,0.002,0.073
3,2110,0.0835,1.5413,5,1.5291,0.0015,0.0029,0.1058
3,2120,0.0929,1.61,5,1.614,0.0013,0.0032,0.0951
3,2130,0.0854,1.4932,5,1.4629,0.0017,0.003,0.0918
3,2140,0.0896,1.596,5,1.5847,0.0015,0.0026,0.0988
3,2150,0.0942,1.6711,5,1.663,0.0017,0.0031,0.1074
3,2160,0.0902,1.5997,5,1.603,0.0015,0.0031,0.0919
3,2170,0.0569,1.164,5,1.1552,0.0015,0.002,0.0723
3,2180,0.1072,1.8257,5,1.8567,0.0013,0.0038,0.2244
3,2190,0.1098,1.8556,5,1.8422,0.0011,0.0036,0.1061
3,2200,0.1028,1.772,5,1.7464,0.0013,0.0037,0.09
3,2210,0.0923,1.6326,5,1.6449,0.0016,0.0034,0.1185
3,2220,0.101,1.7596,5,1.7627,0.0014,0.0037,0.1381
3,2230,0.1037,1.8051,5,1.7893,0.0014,0.0035,0.1949
3,2240,0.1104,1.9113,5,1.8728,0.0017,0.0034,0.1262
3,2250,0.1094,1.8689,5,1.7915,0.0016,0.0034,0.1684
3,2260,0.0876,1.5332,5,1.5231,0.0013,0.0027,0.1009
3,2270,0.0899,1.5815,5,1.54,0.0016,0.0025,0.104
3,2280,0.0696,1.3035,5,1.2769,0.0014,0.0022,0.0949
3,2290,0.1061,1.7951,5,1.7611,0.0014,0.0043,0.1247
3,2300,0.0678,1.3473,5,1.3987,0.0016,0.0025,0.2026
3,2310,0.0839,1.496,5,1.4757,0.0012,0.003,0.1107
3,2320,0.0793,1.414,5,1.4001,0.0013,0.0023,0.129
3,2330,0.0942,1.6407,5,1.6086,0.0014,0.0033,0.1529
3,2340,0.0762,1.4241,5,1.4358,0.0012,0.0023,0.0973
3,2350,0.0753,1.4228,5,1.4209,0.0013,0.0024,0.074
3,2360,0.0757,1.4417,5,1.4361,0.0015,0.003,0.2399
3,2370,0.0711,1.3857,5,1.4201,0.0014,0.0027,0.0994
3,2380,0.0775,1.5022,5,1.5202,0.0014,0.0027,0.0697
3,2390,0.0648,1.2569,5,1.2356,0.0014,0.0023,0.082
3,2400,0.0695,1.3944,5,1.4126,0.0016,0.0023,0.1651
3,2410,0.0586,1.1239,5,1.1178,0.0014,0.0015,0.1141
3,2420,0.062,1.2131,5,1.2451,0.0013,0.0018,0.0819
3,2430,0.0661,1.3299,5,1.3611,0.0016,0.0022,0.1498
3,2440,0.0658,1.2799,5,1.2752,0.0014,0.0023,0.2378
